"Finalizacion","Ciudad","Value"
1912,"Buenos Aires",0
1913,"Buenos Aires",3.313
1914,"Buenos Aires",6.735
1919,"Buenos Aires",6.735
1921,"Buenos Aires",6.735
1923,"Buenos Aires",6.735
1924,"Buenos Aires",6.735
1925,"Buenos Aires",6.735
1929,"Buenos Aires",6.735
1930,"Buenos Aires",13.118
1931,"Buenos Aires",15.27
1932,"Buenos Aires",15.27
1934,"Buenos Aires",17.929
1936,"Buenos Aires",19.711
1937,"Buenos Aires",21.436
1938,"Buenos Aires",25.815
1940,"Buenos Aires",26.345
1941,"Buenos Aires",26.345
1944,"Buenos Aires",29.948
1949,"Buenos Aires",29.948
1951,"Buenos Aires",29.948
1961,"Buenos Aires",29.948
1962,"Buenos Aires",29.948
1963,"Buenos Aires",29.948
1964,"Buenos Aires",29.948
1966,"Buenos Aires",32.886
1968,"Buenos Aires",32.886
1970,"Buenos Aires",32.886
1973,"Buenos Aires",33.561
1974,"Buenos Aires",33.561
1975,"Buenos Aires",33.561
1977,"Buenos Aires",33.561
1978,"Buenos Aires",33.561
1979,"Buenos Aires",33.561
1980,"Buenos Aires",33.561
1981,"Buenos Aires",33.561
1982,"Buenos Aires",33.561
1983,"Buenos Aires",33.561
1985,"Buenos Aires",36.318
1986,"Buenos Aires",36.81
1987,"Buenos Aires",46.209
1988,"Buenos Aires",46.209
1991,"Buenos Aires",46.209
1992,"Buenos Aires",46.209
1994,"Buenos Aires",46.209
1995,"Buenos Aires",46.209
1997,"Buenos Aires",48.074
1998,"Buenos Aires",48.074
1999,"Buenos Aires",48.656
2000,"Buenos Aires",49.562
2002,"Buenos Aires",49.562
2003,"Buenos Aires",51.442
2004,"Buenos Aires",51.442
2005,"Buenos Aires",51.442
2006,"Buenos Aires",51.442
2007,"Buenos Aires",54.502
2008,"Buenos Aires",56.036
2010,"Buenos Aires",57.063
2011,"Buenos Aires",57.854
2013,"Buenos Aires",61.545
2014,"Buenos Aires",61.545
2015,"Buenos Aires",63.513
2017,"Buenos Aires",63.513
1912,"Madrid",0
1913,"Madrid",0
1914,"Madrid",0
1919,"Madrid",3.611
1921,"Madrid",5.395
1923,"Madrid",7.561
1924,"Madrid",11.431
1925,"Madrid",14.642
1929,"Madrid",17.747
1930,"Madrid",17.747
1931,"Madrid",17.747
1932,"Madrid",18.976
1934,"Madrid",18.976
1936,"Madrid",20.377
1937,"Madrid",20.377
1938,"Madrid",20.377
1940,"Madrid",20.377
1941,"Madrid",22.26
1944,"Madrid",26.868
1949,"Madrid",28.172
1951,"Madrid",29.086
1961,"Madrid",39.063
1962,"Madrid",40.141
1963,"Madrid",40.715
1964,"Madrid",42.959
1966,"Madrid",42.959
1968,"Madrid",51.181
1970,"Madrid",58.013
1973,"Madrid",60.063
1974,"Madrid",64.922
1975,"Madrid",67.207
1977,"Madrid",67.207
1978,"Madrid",67.207
1979,"Madrid",76.558
1980,"Madrid",82.732
1981,"Madrid",89.634
1982,"Madrid",95.408
1983,"Madrid",104.306
1985,"Madrid",104.306
1986,"Madrid",109.289
1987,"Madrid",111.36
1988,"Madrid",111.36
1991,"Madrid",111.36
1992,"Madrid",111.36
1994,"Madrid",113.071
1995,"Madrid",119.927
1997,"Madrid",119.927
1998,"Madrid",141.077
1999,"Madrid",176.792
2000,"Madrid",176.792
2002,"Madrid",185.901
2003,"Madrid",232.776
2004,"Madrid",232.776
2005,"Madrid",232.776
2006,"Madrid",237.718
2007,"Madrid",280.345
2008,"Madrid",281.084
2010,"Madrid",283.464
2011,"Madrid",288.777
2013,"Madrid",288.777
2014,"Madrid",288.777
2015,"Madrid",290.003
2017,"Madrid",290.003
1912,"Santiago",0
1913,"Santiago",0
1914,"Santiago",0
1919,"Santiago",0
1921,"Santiago",0
1923,"Santiago",0
1924,"Santiago",0
1925,"Santiago",0
1929,"Santiago",0
1930,"Santiago",0
1931,"Santiago",0
1932,"Santiago",0
1934,"Santiago",0
1936,"Santiago",0
1937,"Santiago",0
1938,"Santiago",0
1940,"Santiago",0
1941,"Santiago",0
1944,"Santiago",0
1949,"Santiago",0
1951,"Santiago",0
1961,"Santiago",0
1962,"Santiago",0
1963,"Santiago",0
1964,"Santiago",0
1966,"Santiago",0
1968,"Santiago",0
1970,"Santiago",0
1973,"Santiago",0
1974,"Santiago",0
1975,"Santiago",9.318
1977,"Santiago",12.527
1978,"Santiago",22.905
1979,"Santiago",22.905
1980,"Santiago",27.351
1981,"Santiago",27.351
1982,"Santiago",27.351
1983,"Santiago",27.351
1985,"Santiago",27.351
1986,"Santiago",27.351
1987,"Santiago",29.523
1988,"Santiago",29.523
1991,"Santiago",29.523
1992,"Santiago",29.523
1994,"Santiago",29.523
1995,"Santiago",29.523
